"","X1","X2"
"ENSG00000233557.2",-5.23369485584541,-15.3973335165232
"ENSG00000201491.1",-5.11344922296928,-15.0137313580461
"ENSG00000202254.1",-5.26998487012287,-15.1693175298596
"ENSG00000212248.1",-5.02287357780459,-15.4549621118278
"ENSG00000252765.1",-5.39063594419187,-15.3421310243177
"ENSG00000252530.1",-5.43007160429796,-15.3153960067065
"ENSG00000252717.1",-5.15888390816334,-15.3710127333273
"ENSG00000225036.1",-5.33717418184923,-15.386174274018
"ENSG00000270976.1",-5.36250998679747,-15.3770576754799
"ENSG00000275455.1",-5.53087209629829,-15.3222037632296
"ENSG00000270066.3",-5.01800436818071,-15.2670042787062
"ENSG00000199710.1",-5.21459734444556,-15.4313656707624
"ENSG00000232240.2",-5.26946767310024,-15.0927184233847
"ENSG00000238761.1",-5.5328735688267,-15.3558097812088
"ENSG00000283296.1",-5.18858853881923,-15.1347652817204
"ENSG00000252750.1",-5.45253178797209,-14.9660168164137
"ENSG00000201114.1",-5.14553275062892,-15.5201177938698
"ENSG00000242769.3",-5.19445582153552,-15.3196641854319
"ENSG00000274468.1",-5.26013326636583,-15.1383335072682
"ENSG00000270631.1",-5.1632704800158,-15.1171080543162
"ENSG00000239984.3",-5.19171807849543,-15.3339581620143
"ENSG00000207502.1",-5.04876199313124,-15.4009682083894
"ENSG00000264419.1",-5.25536769297688,-15.0629553066024
"ENSG00000211543.2",-5.53731917293995,-15.3988659490029
"ENSG00000277141.1",-5.33264217521867,-15.3072440839562
"ENSG00000212266.1",-5.21218992679572,-15.2150606804197
"ENSG00000222209.1",-5.1009279271586,-15.44009111778
"ENSG00000207149.1",-5.34847596948817,-15.2341380028946
"ENSG00000277313.1",-5.48228657268054,-15.3698031011075
"ENSG00000275933.1",-5.42035908370573,-15.2354209298575
"ENSG00000273516.1",-5.33731371066465,-15.1971382895317
"ENSG00000275296.1",-4.88442245359505,-15.2843284866589
"ENSG00000275129.1",-5.05403549577469,-15.2383805508321
"ENSG00000252830.2",-5.36425453348086,-15.481922603749
"ENSG00000202167.1",-5.31208294483768,-15.2350877014196
"ENSG00000207349.1",-5.22651190656873,-15.3563512898561
"ENSG00000252826.1",-5.33340822885612,-15.2419077975488
"ENSG00000252105.1",-5.37144860503786,-15.2192199245674
"ENSG00000237503.2",-5.41880152331027,-15.4155532786029
"ENSG00000275075.1",-5.37220983146042,-15.4522365267246
"ENSG00000276442.1",-5.44495653212378,-15.3815976519319
"ENSG00000175658.4",-5.09384091426656,-15.4498455316498
"ENSG00000271439.1",-5.42569339491247,-15.4114244607016
"ENSG00000222854.1",-5.08538135600644,-15.4686948836348
"ENSG00000271644.1",-5.44869066362388,-15.2295795697787
"ENSG00000277678.1",-5.39364577621222,-15.4037649021171
"ENSG00000271291.1",-5.367551207915,-15.4860385789447
"ENSG00000201789.1",-5.2047911370164,-15.3995668231063
"ENSG00000274450.1",-5.19572679062231,-15.2864541925135
"ENSG00000207209.1",-5.30518454288221,-15.2924212668079
"ENSG00000272480.1",-5.29866930538889,-15.0119211830399
"ENSG00000283676.1",-5.51877679987185,-15.227075033542
"ENSG00000278596.1",-5.38117325994471,-15.1886698340735
"ENSG00000252515.2",-4.98510756565351,-15.1315236022168
"ENSG00000271546.1",-5.0266347229346,-15.3627049916372
"ENSG00000252656.1",-5.08628050598005,-15.424970535289
"ENSG00000273591.1",-5.20765426810557,-15.1253073851988
"ENSG00000206980.1",-5.43057177149329,-15.4162931952317
"ENSG00000240667.1",-5.20250877947166,-15.4434417253539
"ENSG00000233819.1",-5.49925692224904,-15.4043567957697
"ENSG00000197364.6",-5.54239074116173,-15.3794015902603
"ENSG00000276584.1",-5.19521296530781,-15.572955460098
"ENSG00000263987.1",-5.19854315399135,-15.4574213267499
"ENSG00000215938.3",-5.30478851965822,-15.5230699637668
"ENSG00000201129.1",-5.38438300345095,-15.2714879487022
"ENSG00000222457.1",-5.29042400072465,-15.3202719016444
"ENSG00000202027.1",-5.19118494240932,-15.4098326759171
"ENSG00000277817.1",-5.20639554094277,-15.4683194844817
"ENSG00000228239.1",-5.0451695257289,-15.580414478152
"ENSG00000203758.4",-5.41031424034387,-15.4522694711888
"ENSG00000198965.3",-5.10957632113926,-15.4684106074709
"ENSG00000186440.1",-5.37527598490782,-15.4498040427032
"ENSG00000231237.1",-5.18074393599823,-15.5555296385872
"ENSG00000196171.3",-5.08867027410127,-15.2201666233979
"ENSG00000276632.1",-4.94545593510101,-15.2375449764346
"ENSG00000212161.1",-5.50848968703144,-15.2747530794724
"ENSG00000266458.1",-4.98751668275731,-15.3915604277928
"ENSG00000199595.1",-5.50792683882367,-15.3055679735933
"ENSG00000200327.1",-5.51051771921667,-15.3676057020464
"ENSG00000225719.2",-5.38258986492506,-15.2098695720836
"ENSG00000199849.1",-5.12283158445519,-15.597564321401
"ENSG00000201987.1",-5.45657057332526,-15.3949559303671
"ENSG00000201270.1",-5.05644291766134,-15.1637519368279
"ENSG00000207341.1",-5.0615805823818,-15.4529266356274
"ENSG00000215952.1",-5.15121232276512,-15.3261165198956
"ENSG00000231029.2",-5.1946825654528,-15.040219373553
"ENSG00000221545.1",-5.22147165621268,-15.1039745063153
"ENSG00000206880.1",-5.11862844342737,-15.4070379465687
"ENSG00000207974.1",-5.31907152808116,-15.170025070187
"ENSG00000283255.1",-5.18398842524623,-15.0394091467351
"ENSG00000252987.1",-5.36988455765918,-15.1364322110011
"ENSG00000224896.2",-5.2777278570316,-15.4634792340484
"ENSG00000238051.1",-5.30822607261921,-15.4895367852992
"ENSG00000225545.1",-5.30150064277614,-15.2850681487567
"ENSG00000221390.1",-5.2315925771662,-15.2339303951086
"ENSG00000206692.1",-5.3385899173322,-15.298508729292
"ENSG00000225704.2",-4.99921168897306,-15.5076573664628
"ENSG00000234333.2",-5.40180568653919,-15.448982972998
"ENSG00000232261.1",-5.23427933991163,-15.2208776685048
"ENSG00000251943.1",-5.37182182382927,-15.1868976127848
"ENSG00000273629.1",-5.44012561844286,-15.3855119674546
"ENSG00000231020.1",-5.30026439687736,-15.503826111484
"ENSG00000202609.4",-5.23851947565796,-15.5655591105732
"ENSG00000266417.1",-5.36562134783986,-15.5594720220608
"ENSG00000201791.1",-5.43349770711046,-15.2377125931393
"ENSG00000228191.1",-5.04972974991643,-15.1669022029014
"ENSG00000224620.2",-5.46785919634651,-15.4230603212457
"ENSG00000265435.1",-5.39785839424709,-15.4337117758249
"ENSG00000206905.1",-5.18552395784922,-15.1094483143641
"ENSG00000252977.1",-5.33003903562984,-15.5485197896958
"ENSG00000206764.1",-5.44510638996827,-15.2742889613675
"ENSG00000270443.1",-5.33603118208831,-15.3191272721099
"ENSG00000199840.1",-5.39899035115438,-15.261156861563
"ENSG00000207080.2",-5.46272471607898,-15.4846489297802
"ENSG00000231791.1",-5.16005670679894,-15.0541917116964
"ENSG00000244568.3",-5.08633192121946,-15.0672288391044
"ENSG00000201312.1",-5.27481535513033,-15.2226251507901
"ENSG00000206640.1",-5.15023489041199,-15.4043106935056
"ENSG00000252407.1",-5.11274031995789,-15.2770388961191
"ENSG00000270920.1",-5.06689576714898,-15.1412785122676
"ENSG00000207108.1",-5.16766120060671,-15.4702164897504
"ENSG00000201596.1",-5.350024416577,-15.5061055349395
"ENSG00000236401.1",-5.50647082775513,-15.336527839421
"ENSG00000150732.8",-5.41532113088897,-15.2144955355161
"ENSG00000222240.1",-5.50154266741103,-15.256868338162
"ENSG00000261182.1",-5.19143209652765,-15.0776170226155
"ENSG00000224278.1",-5.40194104165968,-15.1179939428538
"ENSG00000235083.1",-5.2478972833631,-15.2344564574814
"ENSG00000231022.1",-5.07138869091179,-15.3731652700666
"ENSG00000226486.1",-4.90072517675722,-15.3198380469901
"ENSG00000226196.1",-5.25838515246376,-15.2893129580073
"ENSG00000231175.1",-5.31534817304758,-15.446625467711
"ENSG00000236025.1",-5.43886258401332,-15.498489009142
"ENSG00000238108.1",-5.34020315566962,-15.0273021475499
"ENSG00000271187.1",-5.33734948258487,-15.095435100607
"ENSG00000223344.1",-5.41598043274671,-15.344967227063
"ENSG00000228687.1",-5.23579274364712,-15.187280880753
"ENSG00000226814.2",-5.305163864578,-15.2875723559363
"ENSG00000221680.1",-4.92758714954359,-15.0629116153707
"ENSG00000226640.2",-5.03662960979598,-15.4591160904686
"ENSG00000237213.2",-5.17996530744618,-15.4952661295373
"ENSG00000251813.1",-5.3903060647838,-15.5784725209715
"ENSG00000228167.1",-5.15005721049659,-15.373232935389
"ENSG00000265986.1",-5.12572113263418,-15.0468247664582
"ENSG00000273844.1",-5.14794067632886,-15.3798515567648
"ENSG00000230260.1",-5.15945975833443,-15.6171660893951
"ENSG00000224901.1",-5.2634877265392,-15.3151571177562
"ENSG00000228190.2",-5.28926531170867,-15.2013678958919
"ENSG00000231984.1",-5.08209118212763,-15.0151884555289
"ENSG00000228530.1",-5.1647834962448,-15.0581034888647
"ENSG00000200139.1",-5.41616500314726,-15.2003791580835
"ENSG00000202491.1",-5.40224140892138,-15.1382972200583
"ENSG00000202329.1",-5.15947171555915,-15.2446586471493
"ENSG00000227048.2",-5.28859044812099,-15.5765649725403
"ENSG00000235811.1",-4.96713761582086,-15.395364884346
"ENSG00000272262.1",-5.56480982826618,-15.1686060314759
"ENSG00000231547.1",-4.93076278985929,-15.2542657950639
"ENSG00000234775.1",-5.17939932222073,-15.105553731635
"ENSG00000252650.1",-5.0004714853798,-15.2651904866351
"ENSG00000278465.1",-5.19334443155319,-15.4243640456605
"ENSG00000226565.2",-5.17216987517796,-15.5074842070863
"ENSG00000274059.1",-5.18393639183603,-15.5706936198005
"ENSG00000278684.1",-5.07308016454714,-15.1067409024056
"ENSG00000283876.1",-5.42206698454995,-15.0756180306495
"ENSG00000264358.1",-4.96844157113322,-15.34828390326
"ENSG00000228646.3",-5.36396032310756,-15.3774166789764
"ENSG00000215819.3",-5.39639433998345,-15.4407595335346
"ENSG00000223869.1",-5.00884537262535,-15.0993711353656
"ENSG00000230714.1",-5.5741746072448,-15.4457413938588
"ENSG00000201493.1",-5.11657021431747,-15.4277949886863
"ENSG00000212610.2",-5.18598466969183,-15.0585943764739
"ENSG00000252086.1",-5.52471947591176,-15.2128027878874
